city,local,airport,,,,
Майкоп,Адыгея,Краснодар ,,,,
Алыгейск,Адыгея,,,,,
Горно-Алтайск,Алтайский край,Барнаул,,,,
Барнаул,Алтайский край,,,,,
Бийск,Алтайский край,,,,,
Рубцовск,Алтайский край,,,,,
Новоалтайск,Алтайский край,,,,,
Благовещенск,Амурская область,Благовещенск ,,,,
Белогорск,Амурская область,,,,,
Свободный,Амурская область,,,,,
Архангельск,Архангельская область,Архангельск,,,,
Северодвинск,Архангельская область,,,,,
Котлас,Архангельская область,,,,,
Астрахань,Астраханская область,Архангельск,,,,
Уфа,Башкортостан,Уфа,,,,
Стерлитамак,Башкортостан,,,,,
Салават,Башкортостан,,,,,
Нефтекамск,Башкортостан,,,,,
Октябрьский,Башкортостан,,,,,
Туймазы,Башкортостан,,,,,
Белорецк,Башкортостан,,,,,
Ишимбай,Башкортостан,,,,,
Сибай,Башкортостан,,,,,
Кумертау,Башкортостан,,,,,
Белебей,Башкортостан,,,,,
Мелеуз,Башкортостан,,,,,
Белгород,Белгородская область,Белгород (имени В. Г. Шухова),,,,
Старый Оскол,Белгородская область,,,,,
Губкин,Белгородская область,,,,,
Брянск,Брянская область,Брянск,,,,
Клинцы,Брянская область,,,,,
Улан-Удэ,Бурятия,Улан-Удэ (Мухино),,,,
Владимир,Владимирская область,нет,,,,
Ковров,Владимирская область,,,,,
Муром,Владимирская область,,,,,
Александров,Владимирская область,,,,,
Гусь-Хрустальный,Владимирская область,,,,,
Волгоград,Волгоградская область,Волгоград ,,,,
Волжский,Волгоградская область,,,,,
Камышин,Волгоградская область,,,,,
Михайловка,Волгоградская область,,,,,
Череповец,Вологодская область,Череповец,,,,
Вологда,Вологодская область,,,,,
Воронеж,Воронежская область,Воронеж ,,,,
Россошь,Воронежская область,,,,,
Борисоглебск,Воронежская область,,,,,
Лиски,Воронежская область,,,,,
Махачкала,Дагестан,Махачкала,,,,
Хасавюрт,Дагестан,,,,,
Каспийск,Дагестан,,,,,
Дербент,Дагестан,,,,,
Буйнакск,Дагестан,,,,,
Избербаш,Дагестан,,,,,
Кизляр,Дагестан,,,,,
Биробиджан,Еврейская автономная область,нет,,,,
Чита,Забайкальский край,Чита ,,,,
Краснокаменск,Забайкальский край,,,,,
Иваново,Ивановская область,Иваново,,,,
Кинешма,Ивановская область,,,,,
Шуя,Ивановская область,,,,,
Назрань,Ингушетия,Магас,,,,
Сунжа,Ингушетия,,,,,
Магас,Ингушетия,,,,,
Иркутск,Иркутская область,Иркутск,,,,
Братск,Иркутская область,,,,,
Ангарск,Иркутская область,,,,,
Усть-Илимск,Иркутская область,,,,,
Усолье-Сибирское,Иркутская область,,,,,
Нальчик,Кабардино-Балкария,Нальчик,,,,
Прохладный,Кабардино-Балкария,,,,,
Калининград,Калининградская область,Калининград,,,,
Балтийск,Калининградская область,,,,,
Элиста,Калмыкия,Элиста,,,,
Калуга,Калужская область,Калуга,,,,
Обнинск,Калужская область,,,,,
Петропавловск-Камчатский,Камчатский край,Петропавловск-Камчатский,,,,
Черкесск,Карачаево-Черкесия,"Минеральные Воды, Ставрополь",,,,
Петрозаводск,Карелия,Петрозаводск,,,,
Кемерово,Кемеровская область,"Кемерово, Новокузнецк",,,,
Новокузнецк,Кемеровская область,,,,,
Прокопьевск,Кемеровская область,,,,,
Междуреченск,Кемеровская область,,,,,
Ленинск-Кузнецкий,Кемеровская область,,,,,
Киселёвск,Кемеровская область,,,,,
Юрга,Кемеровская область,,,,,
Белово,Кемеровская область,,,,,
Анжеро-Судженск,Кемеровская область,,,,,
Киров,Кировская область,Киров,,,,
Кирово-Чепецк,Кировская область,,,,,
Сыктывкар,Коми,Сыктывкар,,,,
Ухта,Коми,,,,,
Воркута,Коми,,,,,
Кострома,Костромская область,Кострома,,,,
Краснодар,Краснодарский край,"Анапа, Краснодар, Сочи",,,,
Сочи,Краснодарский край,,,,,
Новороссийск,Краснодарский край,,,,,
Армавир,Краснодарский край,,,,,
Анапа,Краснодарский край,,,,,
Ейск,Краснодарский край,,,,,
Кропоткин,Краснодарский край,,,,,
Геленджик,Краснодарский край,,,,,
Славянск-на-Кубани,Краснодарский край,,,,,
Туапсе,Краснодарский край,,,,,
Лабинск,Краснодарский край,,,,,
Крымск,Краснодарский край,,,,,
Тихорецк,Краснодарский край,,,,,
Белореченск,Краснодарский край,,,,,
Тимашёвск,Краснодарский край,,,,,
Красноярск,Красноярский край,Красноярск,,,,
Норильск,Красноярский край,,,,,
Ачинск,Красноярский край,,,,,
Канск,Красноярский край,,,,,
Железногорск,Красноярский край,,,,,
Минусинск,Красноярский край,,,,,
Зеленогорск,Красноярский край,,,,,
Лесосибирск,Красноярский край,,,,,
Симферополь,Крым,Симферополь,,,,
Керчь,Крым,,,,,
Евпатория,Крым,,,,,
Ялта,Крым,,,,,
Севастополь,Крым,,,,,
Феодосия,Крым,,,,,
Курган,Курганская область,Курган,,,,
Шадринск,Курганская область,,,,,
Курск,Курская область,Курск,,,,
Железногорск,Курская область,,,,,
Санкт-Петербург,Ленинградская область,Санкт-Петербург,,,,
Гатчина,Ленинградская область,,,,,
Мурино,Ленинградская область,,,,,
Всеволожск,Ленинградская область,,,,,
Выборг,Ленинградская область,,,,,
Сосновый Бор,Ленинградская область,,,,,
Сертолово,Ленинградская область,,,,,
Тихвин,Ленинградская область,,,,,
Кириши,Ленинградская область,,,,,
Липецк,Липецкая область,Липецк,,,,
Елец,Липецкая область,,,,,
Магадан,Магаданская область,Магадан,,,,
Йошкар-Ола,Марий Эл,Йошкар-Ола,,,,
Волжск,Марий Эл,,,,,
Саранск,Мордовия,Саранск,,,,
Москва,Московская область,"Москва, Жуковский",,,,
Балашиха,Московская область,,,,,
Подольск,Московская область,,,,,
Химки,Московская область,,,,,
Мытищи,Московская область,,,,,
Королёв,Московская область,,,,,
Люберцы,Московская область,,,,,
Красногорск,Московская область,,,,,
Электросталь,Московская область,,,,,
Коломна,Московская область,,,,,
Одинцово,Московская область,,,,,
Домодедово,Московская область,,,,,
Щёлково,Московская область,,,,,
Серпухов,Московская область,,,,,
Раменское,Московская область,,,,,
Орехово-Зуево,Московская область,,,,,
Долгопрудный,Московская область,,,,,
Пушкино,Московская область,,,,,
Реутов,Московская область,,,,,
Жуковский,Московская область,,,,,
Ногинск,Московская область,,,,,
Сергиев Посад,Московская область,,,,,
Воскресенск,Московская область,,,,,
Лобня,Московская область,,,,,
Ивантеевка,Московская область,,,,,
Клин,Московская область,,,,,
Видное,Московская область,,,,,
Дубна,Московская область,,,,,
Егорьевск,Московская область,,,,,
Чехов,Московская область,,,,,
Дмитров,Московская область,,,,,
Наро-Фоминск,Московская область,,,,,
Ступино,Московская область,,,,,
Павловский Посад,Московская область,,,,,
Лыткарино,Московская область,,,,,
Фрязино,Московская область,,,,,
Дзержинский,Московская область,,,,,
Котельники,Московская область,,,,,
Мурманск,Мурманская область,Мурманск,,,,
Североморск,Мурманская область,,,,,
Апатиты,Мурманская область,,,,,
Нижний Новгород,Нижегородская область,Нижний Новгород,,,,
Дзержинск,Нижегородская область,,,,,
Арзамас,Нижегородская область,,,,,
Саров,Нижегородская область,,,,,
Бор,Нижегородская область,,,,,
Кстово,Нижегородская область,,,,,
Павлово,Нижегородская область,,,,,
Выкса,Нижегородская область,,,,,
Великий Новгород,Новгородская область,Сакнт-Петербург,,,,
Новосибирск,Новосибирская область,Новосибирск,,,,
Бердск,Новосибирская область,,,,,
Искитим,Новосибирская область,,,,,
Омск,Омская область,Омск,,,,
Оренбург,Оренбургская область,Оренбург,,,,
Орск,Оренбургская область,,,,,
Бузулук,Оренбургская область,,,,,
Новотроицк,Оренбургская область,,,,,
Орёл,Орловская область,"Калуга, Курск",,,,
Пенза,Пензенская область,Пенза,,,,
Кузнецк,Пензенская область,,,,,
Заречный,Пензенская область,,,,,
Пермь,Пермский край,Пермь,,,,
Березники,Пермский край,,,,,
Соликамск,Пермский край,,,,,
Чайковский,Пермский край,,,,,
Кунгур,Пермский край,,,,,
Лысьва,Пермский край,,,,,
Краснокамск,Пермский край,,,,,
Владивосток,Приморский край,Владивосток,,,,
Уссурийск,Приморский край,,,,,
Находка,Приморский край,,,,,
Артём,Приморский край,,,,,
Арсеньев,Приморский край,,,,,
Псков,Псковская область,Сакнт-Петербург,,,,
Великие Луки,Псковская область,,,,,
Ростов-на-Дону,Ростовская область,Ростов-на-Дону,,,,
Таганрог,Ростовская область,,,,,
Шахты,Ростовская область,,,,,
Волгодонск,Ростовская область,,,,,
Новочеркасск,Ростовская область,,,,,
Батайск,Ростовская область,,,,,
Новошахтинск,Ростовская область,,,,,
Каменск-Шахтинский,Ростовская область,,,,,
Азов,Ростовская область,,,,,
Гуково,Ростовская область,,,,,
Сальск,Ростовская область,,,,,
Рязань,Рязанская область,Москва,,,,
Самара,Самарская область,Самара,,,,
Тольятти,Самарская область,,,,,
Сызрань,Самарская область,,,,,
Новокуйбышевск,Самарская область,,,,,
Чапаевск,Самарская область,,,,,
Жигулёвск,Самарская область,,,,,
Саратов,Саратовская область,Саратов,,,,
Энгельс,Саратовская область,,,,,
Балаково,Саратовская область,,,,,
Балашов,Саратовская область,,,,,
Вольск,Саратовская область,,,,,
Южно-Сахалинск,Сахалинская область,Южно-Сахалинск,,,,
